ticker,weight
US1046741062,4.4269e-2
US1053682035,1.311e-2
US10576N1028,6.92e-3
US10806X1028,7.89e-4
US1091941005,5.064e-2
US10922N1037,0.118281
US10948C1071,3.2755e-2
US10949T1097,1.3294e-2
US1096961040,8.3953e-2
US11120U1051,9.1805e-2
US11135E2037,5.5814e-2
US1124631045,2.4185e-2
US1167941087,6.7239e-2
US1170431092,0.157007
US12047B1052,2.1013e-2
US12135Y1082,2.2392e-2
US12326C1053,2.5666e-2
US1244111092,3.2128e-2
US12468P1049,9.327e-3
US1248051021,4.2562e-2
US1248308785,9.0e-3
US12510Q1004,3.3713e-2
US1251411013,9.592e-3
US12618T1051,1.3346e-2
US12621E1038,0.128358
US12653C1080,0.129514
US1270551013,0.112268
US1271903049,0.148218
US12740C1036,0.191427
US12763L1052,8.809e-3
US13100M5094,1.3645e-2
US1314281049,2.4427e-2
US1330341082,2.3741e-2
US1331311027,0.126857
US1344291091,0.127605
US13462K1097,4.9698e-2
US13765N1072,1.6262e-2
US1381031061,6.947e-3
US1396741050,1.5964e-2
US14167L1035,6.673e-3
US1442851036,7.1579e-2
US1462291097,5.9142e-2
US1462805086,2.5154e-2
US1475281036,0.231348
US14843C1053,7.133e-3
US1489291021,3.0273e-2
US15102K1007,1.191e-3
US15117B2025,8.431e-3
US15118V2079,1.7598e-2
US1535271068,1.2068e-2
US1535272058,5.1079e-2
US1559231055,3.385e-2
US15643U1043,1.4145e-2
US15677J1088,4.1682e-2
US1569441009,4.046e-3
US1572101053,3.278e-3
US1598641074,0.149697
US16115Q3083,7.8311e-2
US16359R1032,6.1707e-2
US16679L1098,3.4763e-2
US16934Q8024,2.9249e-2
US1699051066,2.8964e-2
US1710774076,1.656e-3
US1714841087,7.7718e-2
US1717572069,4.89e-3
US17253J1060,7.071e-3
US1727551004,6.8408e-2
US17888H1032,0.23812
US1844961078,0.144075
US18453H1068,1.0502e-2
US1851231068,4.2955e-2
US1858991011,0.376879
US18914F1030,1.6307e-2
US19046P2092,1.387e-2
US1910981026,0.367833
US1921085049,4.7591e-2
US19240Q2012,1.344e-3
US1924221039,3.9243e-2
US19247G1076,0.142197
US1972361026,0.236856
US1976411033,8.766e-3
US1985161066,3.9548e-2
US2003401070,0.310624
US2005251036,0.144016
US2017231034,0.210553
US20337X1090,4.9346e-2
US2041491083,2.7413e-2
US2041661024,2.0271e-2
US20451N1019,1.5126e-2
US20451Q1040,2.0566e-2
US20459V1052,2.589e-3
US20464U1007,4.6805e-2
US2058871029,0.337764
US20602D1019,0.122342
US20603L1026,3.6957e-2
US20717M1036,1.6879e-2
US20786W1071,4.2786e-2
US21044C1071,2.3564e-2
US21874A1060,4.425e-3
US21874C1027,0.139089
US21900C3088,4.278e-3
US22002T1088,3.4645e-2
US2220702037,4.1997e-2
US22266M1045,6.526e-3
US2227955026,8.096e-2
US22284P1057,1.5818e-2
US2244081046,5.7352e-2
US2244411052,3.6095e-2
US2253101016,3.6284e-2
US22658D1000,3.326e-3
US22663K1079,1.3303e-2
US2270461096,0.153531
US2283681060,0.21013
US22890A3023,1.974e-3
US2296631094,8.7601e-2
US2298991090,0.17017
US2300311063,5.042e-3
US2315611010,9.7715e-2
US23204X1037,9.445e-3
US23282W6057,1.095e-3
US23345M1071,0.109824
US2339121046,4.392e-3
US2342641097,9.544e-3
